currency,ticker,name,type,tenor,floating_leg_tenor,Floating leg
GBP,BPSW20V3 Curncy,GBP SWAP (VS 3M LIB)20YR,IRS,20y,3m,3M GBP Libor
GBP,BPSW30V3 Curncy,GBP SWAP (VS 3M LIB)30YR,IRS,30y,3m,3M GBP Libor
JPY,JYSW1 Curncy,JPY SWAP            1 YR,IRS,1y,6m,6M JPY Libor
JPY,JYSW2 Curncy,JPY SWAP           2 YR,IRS,2y,6m,6M JPY Libor
JPY,JYSW3 Curncy,JPY SWAP           3 YR,IRS,3y,6m,6M JPY Libor
JPY,JYSW4 Curncy,JPY SWAP           4 YR,IRS,4y,6m,6M JPY Libor
JPY,JYSW5 Curncy,JPY SWAP           5 YR,IRS,5y,6m,6M JPY Libor
JPY,JYSW6 Curncy,JPY SWAP           6 YR,IRS,6y,6m,6M JPY Libor
JPY,JYSW7 Curncy,JPY SWAP           7 YR,IRS,7y,6m,6M JPY Libor
JPY,JYSW8 Curncy,JPY SWAP           8 YR,IRS,8y,6m,6M JPY Libor
JPY,JYSW9 Curncy,JPY SWAP           9 YR,IRS,9y,6m,6M JPY Libor
JPY,JYSW10 Curncy,JPY SWAP           10YR,IRS,10y,6m,6M JPY Libor
JPY,JYSW15 Curncy,JPY SWAP           15YR,IRS,15y,6m,6M JPY Libor
JPY,JYSW20 Curncy,JPY SWAP           20YR,IRS,20y,6m,6M JPY Libor
JPY,JYSW30 Curncy,JPY SWAP           30YR,IRS,30y,6m,6M JPY Libor
JPY,JYSW1V3 Curncy,JPY SWAP   (VS 3M LIB)        1YR,IRS,1y,3m,3M JPY Libor
JPY,JYSW2V3 Curncy,JPY SWAP   (VS 3M LIB)        1YR,IRS,2y,3m,3M JPY Libor
JPY,JYSW3V3 Curncy,JPY SWAP   (VS 3M LIB)        1YR,IRS,3y,3m,3M JPY Libor
JPY,JYSW4V3 Curncy,JPY SWAP   (VS 3M LIB)        1YR,IRS,4y,3m,3M JPY Libor
JPY,JYSW5V3 Curncy,JPY SWAP   (VS 3M LIB)        1YR,IRS,5y,3m,3M JPY Libor
JPY,JYSW6V3 Curncy,JPY SWAP   (VS 3M LIB)        1YR,IRS,6y,3m,3M JPY Libor
JPY,JYSW7V3 Curncy,JPY SWAP   (VS 3M LIB)        1YR,IRS,7y,3m,3M JPY Libor
JPY,JYSW8V3 Curncy,JPY SWAP   (VS 3M LIB)        1YR,IRS,8y,3m,3M JPY Libor
JPY,JYSW9V3 Curncy,JPY SWAP   (VS 3M LIB)        1YR,IRS,9y,3m,3M JPY Libor
JPY,JYSW10V3 Curncy,JPY SWAP   (VS 3M LIB)        1YR,IRS,10y,3m,3M JPY Libor
JPY,JYSW15V3 Curncy,JPY SWAP   (VS 3M LIB)        1YR,IRS,15y,3m,3M JPY Libor
JPY,JYSW20V3 Curncy,JPY SWAP   (VS 3M LIB)        1YR,IRS,20y,3m,3M JPY Libor
JPY,JYSW30V3 Curncy,JPY SWAP   (VS 3M LIB)        1YR,IRS,30y,3m,3M JPY Libor
JPY,JYBC1 Curncy,JPY BASIS 3v6 1YR,TS,1y,3v6,3M JPY Libor vs 6M JPY Libor
